trip_id,arc_id,arc_sequence,geometry,stop_id,interval_weekdays_morning,interval_weekends_morning,interval_weekdays_evening,interval_weekends_evening,route_short_name,route_long_name,route_type,length,t0,stops_number,geometry_stops,stop_dist,stops_order,coef_distance,from_node_id,from_node_lng,from_node_lat,to_node_id,to_node_lng,to_node_lat
35263,2287527505278933268,1,"LINESTRING (37.49704635 55.82042647, 37.49702894000001 55.82046088999999, 37.49702336 55.82047506, 37.49702056 55.82048659, 37.49702243 55.82049656, 37.4970308 55.820506519999995, 37.49704105 55.82051596999999, 37.49706062 55.82052907999999, 37.497087400000005 55.82054088, 37.49762465 55.82068691, 37.49764923 55.82069167000001, 37.49766643 55.82069298999999, 37.49768379 55.820692780000016, 37.49770088 55.820691030000006, 37.49771727 55.82068782, 37.49773257 55.82068318999999, 37.49774639 55.82067727, 37.49775839 55.82067021000001, 37.4977683 55.82066217999999, 37.49777388 55.820656019999994, 37.49784489 55.82057561999999, 37.49792917 55.82047841000001)",8559,512.4,894.3,620.0,765.3,90,"""Метро """"Войковская"""" - Метро """"Речной вокзал""""""",А,85.03,10.2,1,POINT (37.49779902 55.82053327),0.0009810818806336393,0,1.0,100000052,37.49704635,55.82042647,100000053,37.49792917,55.82047841000001
35263,2287531565869969961,2,"LINESTRING (37.49792917 55.82047841000001, 37.49800943 55.82039181, 37.49802186 55.820379939999995, 37.49803645 55.82036887, 37.49805301 55.82035872000001, 37.49807136 55.82034959, 37.49809129 55.8203416, 37.4981126 55.82033482, 37.49813507 55.82032934, 37.49815841 55.820325209999986, 37.49818241 55.820322469999994, 37.49820677 55.82032117, 37.49823125 55.820321299999996, 37.49825557 55.82032286999999, 37.49827947 55.820325869999984, 37.49830654 55.82033113, 37.49842731 55.820358150000004)",0,512.4,894.3,620.0,765.3,90,"""Метро """"Войковская"""" - Метро """"Речной вокзал""""""",А,40.75,4.9,1,,0.0,0,1.0,100000053,37.49792917,55.82047841000001,100000054,37.49842731,55.820358150000004
35263,2937584174032259413,3,"LINESTRING (37.49842731 55.820358150000004, 37.49904761 55.82051732, 37.49989289 55.82074019, 37.49998575 55.82076766)",8556,512.4,894.3,620.0,765.3,90,"""Метро """"Войковская"""" - Метро """"Речной вокзал""""""",А,107.78,12.9,1,POINT (37.49993048 55.82072563),0.001546479539249685,0,1.0,100000054,37.49842731,55.820358150000004,100000055,37.49998575,55.82076766
35263,3224701891021424791,4,"LINESTRING (37.49998575 55.82076766, 37.50105452 55.82108375999999)",0,512.4,894.3,620.0,765.3,90,"""Метро """"Войковская"""" - Метро """"Речной вокзал""""""",А,75.65,9.1,1,,0.0,0,1.0,100000055,37.49998575,55.82076766,100000056,37.50105452,55.82108375999999
35263,2952401293265370513,5,"LINESTRING (37.50105452 55.82108375999999, 37.50118405 55.821133499999995, 37.50118742 55.821134739999984, 37.50120428 55.82114181, 37.50121975 55.82114984999998, 37.50123363 55.82115873999999, 37.50124579 55.821168409999984, 37.50125608 55.82117874, 37.50126441 55.821189619999984, 37.50127066 55.82120093, 37.50127478 55.82121253999998, 37.50127673 55.82122432999999, 37.50127647 55.82123618, 37.50127402 55.82124793, 37.5012694 55.82125949, 37.50126266 55.82127070999999, 37.50122837 55.82131923000001, 37.50121946 55.82133181)",0,512.4,894.3,620.0,765.3,90,"""Метро """"Войковская"""" - Метро """"Речной вокзал""""""",А,34.53,4.1,1,,0.0,0,1.0,100000056,37.50105452,55.82108375999999,100000057,37.50121946,55.82133181
35263,2937575902277674327,6,"LINESTRING (37.50121946 55.82133181, 37.5009862 55.82161369999999, 37.50047489 55.82227033, 37.5003453 55.8224514)",0,512.4,894.3,620.0,765.3,90,"""Метро """"Войковская"""" - Метро """"Речной вокзал""""""",А,136.14,16.3,1,,0.0,0,1.0,100000057,37.50121946,55.82133181,100000058,37.5003453,55.8224514
35263,2937575335341991255,7,"LINESTRING (37.5003453 55.8224514, 37.50029012 55.8225588, 37.50028556 55.822567209999995, 37.50027815 55.82258587999999, 37.50027424 55.82260489, 37.50027388 55.822624019999985, 37.50027708 55.82264307, 37.5002838 55.822661829999994, 37.50029397 55.82268007999999, 37.50030747 55.82269763999999, 37.50032416 55.82271432, 37.50034385 55.822729909999985, 37.50036631 55.82274426, 37.50039133 55.82275722, 37.50041862 55.82276862999999, 37.50044788 55.82277836000001, 37.50049642 55.82279264, 37.50052910000001 55.82280226)",0,512.4,894.3,620.0,765.3,90,"""Метро """"Войковская"""" - Метро """"Речной вокзал""""""",А,46.85,5.6,1,,0.0,0,1.0,100000058,37.5003453,55.8224514,100000059,37.50052910000001,55.82280226
35263,2937575343579498837,8,"LINESTRING (37.50052910000001 55.82280226, 37.50164454 55.82306970999999, 37.50286533 55.82336990000001, 37.50511416 55.82391865999999, 37.50577105 55.82408188, 37.50611582 55.82416682999999)",99,512.4,894.3,620.0,765.3,90,"""Метро """"Войковская"""" - Метро """"Речной вокзал""""""",А,381.59,45.8,1,POINT (37.50259018 55.82324046),0.0021061128202735702,0,1.0,100000059,37.50052910000001,55.82280226,100000060,37.50611582,55.82416682999999
35263,2942796918736060837,9,"LINESTRING (37.50611582 55.82416682999999, 37.50626258 55.824200919999996)",0,512.4,894.3,620.0,765.3,90,"""Метро """"Войковская"""" - Метро """"Речной вокзал""""""",А,9.95,1.2,1,,0.0,0,1.0,100000060,37.50611582,55.82416682999999,100000061,37.50626258,55.824200919999996
35263,2942796935915930021,10,"LINESTRING (37.50626258 55.824200919999996, 37.50650204 55.824252699999995, 37.50738818 55.82445091, 37.508197900000006 55.82463129999999, 37.50886321 55.82478072999999, 37.50916326 55.82484837999999, 37.50927042 55.824873540000006, 37.50933565 55.824890839999995, 37.50936546 55.82489988999999)",100,512.4,894.3,620.0,765.3,90,"""Метро """"Войковская"""" - Метро """"Речной вокзал""""""",А,209.43,25.1,1,POINT (37.50872434 55.82466889),0.0025044831656735357,0,1.0,100000061,37.50626258,55.824200919999996,100000062,37.50936546,55.82489988999999
35263,2937573745851664725,11,"LINESTRING (37.50936546 55.82489988999999, 37.50940041 55.824912999999995, 37.5094304 55.82492599999999, 37.50946331 55.82494411, 37.50947846 55.82495365, 37.50949078 55.82496489, 37.50951213 55.82498782999999, 37.50952687 55.825012359999995, 37.50953088 55.82502509999999, 37.5095346 55.82503789000001, 37.50953322 55.82506248, 37.50953142 55.82507540999999, 37.50952486 55.8250959)",0,512.4,894.3,620.0,765.3,90,"""Метро """"Войковская"""" - Метро """"Речной вокзал""""""",А,25.93,3.1,1,,0.0,0,1.0,100000062,37.50936546,55.82489988999999,100000063,37.50952486,55.8250959
